aliceblue - eisfarben	240,248,255	#f0f8ff
antiquewhite - Antikweiß	250,235,215	#faebd7
aqua - Wasser (aqua = cyan)	0,255,255	#00ffff
aquamarine - Aquamarinblau	127,255,212	#7fffd4
azure - Himmelblau	240,255,255	#f0ffff
beige - Beige	245,245,220	#f5f5dc
bisque - Biskuit	255,228,196	#ffe4c4
black - Schwarz	0,0,0	#000000
blanchedalmond - Mandelweiß	255,235,205	#ffebcd
blue - Blau	0,0,255	#0000ff
blueviolet - Blauviolett	138,43,226	#8a2be2
brown - Braun	165,42,42	#a52a2a
burlywood - Gelbbraun	222,184,135	#deb887
cadetblue - Kadettenblau	95,158,160	#5f9ea0
chartreuse - Hellgrün	127,255,0	#7fff00
chocolate - Schokolade	210,105,30	#d2691e
coral - Koralle	255,127,80	#ff7f50
cornflowerblue - Kornblumenblau	100,149,237	#6495ed
cornsilk - Mais	255,248,220	#fff8dc
crimson - Karmesinrot	220,20,60	#dc143c
cyan - Türkis (cyan = aqua)	0,255,255	#00ffff
darkblue - Dunkelblau	0,0,139	#00008b
darkcyan - Dunkeltürkis	0,139,139	#008b8b
darkgoldenrod - dunkle Goldrutenfarbe	184,134,11	#b8860b
darkgreen - Dunkelgrün	0,100,0	#006400
darkgrey - Dunkelgrau	169,169,169	#a9a9a9
darkkhaki - Dunkelkhaki	189,183,107	#bdb76b
darkmagenta -Dunkelmagenta	139,0,139	#8b008b
darkolivegreen - dunkles Olivgrün	85,107,47	#556b2f
darkorange - dunkles Orange	255,140,0	#ff8c00
darkorchid - dubkle Orchidee	153,50,204	#9932cc
darkred - Dunkelrot	139,0,0	#8b0000
darksalmon - dunkle Lachsfarbe	233,150,122	#e9967a
darkseagreen - dunkles Seegrün	143,188,143	#8fbc8f
darkslateblue - dunkles Schieferblau	72,61,139	#483d8b
darkslategrey - dunkles Schiefergrau	47,79,79	#2f4f4f
darkturquoise - Dunkeltürkis	0,206,209	#00ced1
darkviolet - Dunkelvilolett	148,0,211	#9400d3
deeppink - Tiefrosa	255,20,147	#ff1493
deepskyblue - tiefes Himmelblau	0,191,255	#00bfff
dimgrey - Dunkelgrau	105,105,105	#696969
dodgerblue -Persenningblau	30,144,255	#1e90ff
firebrick - Backstein	178,34,34	#b22222
floralwhite - Blütenweiß	255,250,240	#fffaf0
forestgreen - Waldgrün	34,139,34	#228b22
fuchsia - Fuchsie (fuchsia = magenta)	255,0,255	#ff00ff
gainsboro - Gainsboro	220,220,220	#dcdcdc
ghostwhite - Geisterweiß	248,248,255	#f8f8ff
gold - Gold	255,215,0	#ffd700
goldenrod - Goldrute	218,165,32	#daa520
gray  - Grau	128,128,128	#808080
green - Grün	0,128,0	#008000
greenyellow - Grüngelb	173,255,47	#adff2f
grey - Grau	128,128,128	#808080
honeydew - Honigmelone	240,255,240	#f0fff0
hotpink - leuchtendes Rosa	255,105,180	#ff69b4
indianred - Indischrot	205,92,92	#cd5c5c
indigo - Indigo	75,0,130	#4b0082
ivory - Elfenbein	255,255,240	#fffff0
khaki - staubfarben	240,230,140	#f0e68c
lavender - Lavendel	230,230,250	#e6e6fa
lavenderblush - - Lavendelrosa	255,240,245	#fff0f5
lawngreen - Rasengrün	124,252,0	#7cfc00
lemonchiffon - Chiffongelb	255,250,205	#fffacd
lightblue - Hellblau	173,216,230	#add8e6
lightcoral - helles Korallenrot	240,128,128	#f08080
lightcyan - helles Cyan	224,255,255	#e0ffff
lightgoldenrodyellow - helles Goldrutengelb	250,250,210	#fafad2
lightgray - Hellgrau	211,211,211	#d3d3d3
lightgreen - Hellgrün	144,238,144	#90ee90
lightpink - Hellrosa	255,182,193	#ffb6c1
lightsalmon - helle Lachsfarbe	255,160,122	#ffa07a
lightseagreen - helles Seegrün	32,178,170	#20b2aa
lightskyblue - helles Himmelblau	135,206,250	#87cefa
lightslategrey - helles Schiefergrau	119,136,153	#778899
lightsteelblue - helles Stahlblau	176,196,222	#b0c4de
lightyellow - Hellgelb	255,255,224	#ffffe0
lime - Limone	0,255,0	#00ff00
limegreen - Limonengrün	50,205,50	#32cd32
linen - Leinen	250,240,230	#faf0e6
